"Name_clean","Name","Count","source","lat","lon","matched_name","in_sweden","county"
"Tomelilla kommuner","Tomelilla kommuner",1,"geocode","55.61963","14.01975","Tomelilla Kommun",1,"Skåne"
"Tomelilla kommuns","Tomelilla kommuns",1,"https://www.wikidata.org//wiki/Q515519","55.55","13.95","Tomelilla Municipality",1,"Skåne"
"Tommarp","Tommarp",1,"geonames_unique","56.15","13.05","Tommarp",1,"Skåne"
"Tomtberga","Tomtberga",1,"https://www.wikidata.org//wiki/Q10699797","59.2377805555556","17.9891694444444","Tomtberga kyrkogård",1,"Stockholm"
"Tomteboda","Tomteboda",37,"geonames_unique","59.34849","18.01539","Tomteboda",1,"Stockholm"
"Tomteboda","Tomteboda.",1,"geonames_unique","59.34849","18.01539","Tomteboda",1,"Stockholm"
"Tomtebodas","Tomtebodas",2,"https://www.wikidata.org//wiki/Q7820411","59.35","18.0166666666667","Tomteboda",1,"Stockholm"
"Tomteland","Tomteland",1,"https://www.wikidata.org//wiki/Q10699808","60.8794388888889","14.5177805555556","Santaworld",1,"Dalarna"
"Tönnebro","Tönnebro",10,"geonames_unique","61.05639","16.97111","Tönnebro",1,"Gävleborg"
"Töre","Töre",10,"geocode","65.91243","22.65128","Töre",1,"Norrbotten"
"Töreboda","Töreboda",74,"https://www.wikidata.org//wiki/Q501470","58.7166666666667","14.1333333333333","Töreboda Municipality",1,"Västra Götaland"
"Törebodas","Törebodas",1,"https://www.wikidata.org//wiki/Q501470","58.7166666666667","14.1333333333333","Töreboda Municipality",1,"Västra Götaland"
"Törefjärden","Törefjärden",2,"geonames_unique","65.88333","22.7","Törefjärden",1,"Norrbotten"
"Törefors","Törefors",2,"geonames_unique","65.88333","22.68333","Törefors",1,"Norrbotten"
"Torekov","Torekov",13,"https://www.wikidata.org//wiki/Q1013563","56.419705","12.6338988888889","Torekov",1,"Skåne"
"Torekovs","Torekovs",2,"https://www.wikidata.org//wiki/Q110545021","56.42575","12.6250555555556","Torekovs kyrkoruin",1,"Skåne"
"Torells","Torells",3,"https://www.wikidata.org//wiki/Q60412735","57.1074166666667","12.2469444444444","Otto Torells gata",1,"Halland"
"Torhamn","Torhamn",9,"https://www.wikidata.org//wiki/Q2790766","56.0950061111111","15.8490588888889","Torhamn",1,"Blekinge"
"Torhamns","Torhamns",9,"https://www.wikidata.org//wiki/Q10700104","56.0952194444444","15.8329694444444","Torhamns kyrka",1,"Blekinge"
"Torhamns udde","Torhamns udde.",7,"https://www.wikidata.org//wiki/Q19787818","56.0784538888889","15.8365080555556","Torhamns cape nature reserve",1,NA
"Torhamns udde","Torhamns udde",46,"https://www.wikidata.org//wiki/Q19787818","56.0784538888889","15.8365080555556","Torhamns cape nature reserve",1,NA
"Torhult","Torhult",8,"https://www.wikidata.org//wiki/Q33110440","57.7660319444444","13.7319761111111","Torhult",1,"Västra Götaland"
"Torlarp","Torlarp",1,"geocode","56.16667","12.83333","Torlarp",1,"Skåne"
"Torne","Torne",38,"geonames_unique","56.7","14.6","Torne",1,"Kronoberg"
"Torne älv","Torne älv.",11,"https://www.wikidata.org//wiki/Q121538","65.8083333333333","24.1458333333333","Torne River",1,"Norrbotten"
"Torne älv","Torne älv",58,"https://www.wikidata.org//wiki/Q121538","65.8083333333333","24.1458333333333","Torne River",1,"Norrbotten"
"Torne älvs","Torne älvs",5,"https://www.wikidata.org//wiki/Q49992599","65.8083333333333","24.1458333333333","Torne river basin",1,"Norrbotten"
"Torne träsk","Torne träsk",9,"https://www.wikidata.org//wiki/Q215818","68.3666666666667","19.1","Torneträsk",1,"Norrbotten"
